Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,Unpolarized capacitor,C,C2,680pF,C_Disc_D3.0mm_W2.0mm_P2.50mm,1,~
2,Unpolarized capacitor,C,C1 C3,22nF,C_Disc_D3.0mm_W2.0mm_P2.50mm,2,~
3,Zener diode,D_Zener,D1 D2,1N3518A,D_DO-35_SOD27_P7.62mm_Horizontal,2,~
4,"XLR Connector, Male or Female, 3 Pins",XLR3,J1,XLR3,PinSocket_1x03_P2.54mm_Vertical,1, ~
5,"N-JFET transistor, drain/source/gate",Q_NJFET_DSG,Q1,J105,TO-92_Inline,1,~
6,,LSK389-Teensy,Q2,LSK389B,TO-71-6,1,https://www.linearsystems.com/lsdata/datasheets/Copy_201122%20-%20LSK389%20Datasheet%20Rev%20A24%202020%2001%2007.pdf
7,Resistor,R,R6,150,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,~
8,Resistor,R,R4 R8,180,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,~
9,Resistor,R,R3 R7,220,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2,~
10,Resistor,R,R12,270,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,~
11,Resistor,R,R1 R2 R9 R10,3.3M,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,4,~
12,,XTAL-Keyboard,X1 X2,XTAL,PinSocket_1x02_P2.54mm_Vertical,2,





Component Groups:,12
Component Count:,20
Fitted Components:,20
Number of PCBs:,1
Total components:,20
Schematic Version:,
Schematic Date:,
PCB Variant:,default
BoM Date:,ma. 17. mai 2021 kl. 13.42 +0200
Schematic Source:,piezo-jfet.sch
KiCad Version:,Eeschema 5.1.10
